sentenceid,sentence_text,drug_pair,ddi_label,drug1,drug2,drug1offset,drug2offset,drugsinsent
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p49,0,azathioprine,sulfasalazine,175-186,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p50,0,azathioprine,anakinra,175-186,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p51,0,chloroquine,gold,189-199,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p52,0,chloroquine,hydroxychloroquine,189-199,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p53,0,chloroquine,leflunomide,189-199,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p54,0,chloroquine,sulfasalazine,189-199,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p55,0,chloroquine,anakinra,189-199,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p56,0,gold,hydroxychloroquine,202-205,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p57,0,gold,leflunomide,202-205,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p58,0,gold,sulfasalazine,202-205,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p59,0,gold,anakinra,202-205,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p60,0,hydroxychloroquine,leflunomide,208-225,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p61,0,hydroxychloroquine,sulfasalazine,208-225,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p62,0,hydroxychloroquine,anakinra,208-225,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p63,0,leflunomide,sulfasalazine,228-238,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p64,0,leflunomide,anakinra,228-238,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p65,0,sulfasalazine,anakinra,241-253,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s3,Concurrent administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone.,DDI-DrugBank.d297.s3.p0,1,TNF antagonist,ORENCIA,31-44,51-57,"TNF antagonist,ORENCIA,TNF antagonists,"
DDI-DrugBank.d297.s3,Concurrent administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone.,DDI-DrugBank.d297.s3.p1,0,TNF antagonist,TNF antagonists,31-44,179-193,"TNF antagonist,ORENCIA,TNF antagonists,"
DDI-DrugBank.d297.s3,Concurrent administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone.,DDI-DrugBank.d297.s3.p2,0,ORENCIA,TNF antagonists,51-57,179-193,"TNF antagonist,ORENCIA,TNF antagonists,"
DDI-DrugBank.d297.s4,Concurrent therapy with ORENCIA and TNF antagonists is not recommended.,DDI-DrugBank.d297.s4.p0,1,ORENCIA,TNF antagonists,24-30,36-50,"ORENCIA,TNF antagonists,"
DDI-DrugBank.d297.s5,"There is insufficient experience to assess the safety and efficacy of ORENCIA administered concurrently with anakinra, and therefore such use is not recommended.",DDI-DrugBank.d297.s5.p0,1,ORENCIA,anakinra,70-76,109-116,"ORENCIA,anakinra,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p0,0,heparin,warfarin,32-38,41-48,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p1,0,heparin,beta-adrenergic receptor blockers,32-38,51-83,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p2,0,heparin,calcium channel antagonists,32-38,86-112,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p3,0,heparin,angiotensin converting enzyme inhibitors,32-38,115-154,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p4,0,heparin,nitrates,32-38,178-185,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p5,0,heparin,ticlopidine,32-38,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p6,0,heparin,aspirin,32-38,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p7,0,warfarin,beta-adrenergic receptor blockers,41-48,51-83,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p8,0,warfarin,calcium channel antagonists,41-48,86-112,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p9,0,warfarin,angiotensin converting enzyme inhibitors,41-48,115-154,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p10,0,warfarin,nitrates,41-48,178-185,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p11,0,warfarin,ticlopidine,41-48,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p12,0,warfarin,aspirin,41-48,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p13,0,beta-adrenergic receptor blockers,calcium channel antagonists,51-83,86-112,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p14,0,beta-adrenergic receptor blockers,angiotensin converting enzyme inhibitors,51-83,115-154,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p15,0,beta-adrenergic receptor blockers,nitrates,51-83,178-185,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p16,0,beta-adrenergic receptor blockers,ticlopidine,51-83,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p17,0,beta-adrenergic receptor blockers,aspirin,51-83,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p18,0,calcium channel antagonists,angiotensin converting enzyme inhibitors,86-112,115-154,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p19,0,calcium channel antagonists,nitrates,86-112,178-185,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p20,0,calcium channel antagonists,ticlopidine,86-112,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p21,0,calcium channel antagonists,aspirin,86-112,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p22,0,angiotensin converting enzyme inhibitors,nitrates,115-154,178-185,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p23,0,angiotensin converting enzyme inhibitors,ticlopidine,115-154,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p24,0,angiotensin converting enzyme inhibitors,aspirin,115-154,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p25,0,nitrates,ticlopidine,178-185,188-198,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p26,0,nitrates,aspirin,178-185,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",DDI-DrugBank.d532.s2.p27,0,ticlopidine,aspirin,188-198,205-211,"heparin,warfarin,beta-adrenergic receptor blockers,calcium channel antagonists,angiotensin converting enzyme inhibitors,nitrates,ticlopidine,aspirin,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p0,0,Heparin,anticoagulants,0-6,15-28,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p1,0,Heparin,thrombolytics,0-6,31-43,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p2,0,Heparin,anti platelet agents,0-6,50-69,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p3,0,anticoagulants,thrombolytics,15-28,31-43,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p4,0,anticoagulants,anti platelet agents,15-28,50-69,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",DDI-DrugBank.d532.s3.p5,0,thrombolytics,anti platelet agents,31-43,50-69,"Heparin,anticoagulants,thrombolytics,anti platelet agents,"
DDI-DrugBank.d532.s4,Patients with HACA titers might have allergic or hypersensitivity reactions when treated with other diagnostic or therapeutic monoclonal antibodies.,DDI-DrugBank.d532.s4.p0,0,diagnostic monoclonal antibodies,therapeutic monoclonal antibodies,98-107;124-144,112-144,"diagnostic monoclonal antibodies,therapeutic monoclonal antibodies,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p0,0,alcohol,Acamprosate,26-32,38-48,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p1,0,alcohol,alcohol,26-32,97-103,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p2,0,alcohol,acamprosate,26-32,108-118,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p3,0,Acamprosate,alcohol,38-48,97-103,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p4,0,Acamprosate,acamprosate,38-48,108-118,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,DDI-DrugBank.d0.s0.p5,0,alcohol,acamprosate,97-103,108-118,"alcohol,Acamprosate,alcohol,acamprosate,"
DDI-DrugBank.d0.s1,Pharmacokinetic studies indicate that administration of disulfiram or diazepam does not affect the pharmacokinetics of acamprosate.,DDI-DrugBank.d0.s1.p0,0,disulfiram,diazepam,56-65,70-77,"disulfiram,diazepam,acamprosate,"
DDI-DrugBank.d0.s1,Pharmacokinetic studies indicate that administration of disulfiram or diazepam does not affect the pharmacokinetics of acamprosate.,DDI-DrugBank.d0.s1.p1,0,disulfiram,acamprosate,56-65,119-129,"disulfiram,diazepam,acamprosate,"
DDI-DrugBank.d0.s1,Pharmacokinetic studies indicate that administration of disulfiram or diazepam does not affect the pharmacokinetics of acamprosate.,DDI-DrugBank.d0.s1.p2,0,diazepam,acamprosate,70-77,119-129,"disulfiram,diazepam,acamprosate,"
DDI-DrugBank.d0.s2,Co-administration of naltrexone with Acamprosate produced a 25% increase in AUC and a 33% increase in the Cmax of acamprosate.,DDI-DrugBank.d0.s2.p0,1,naltrexone,Acamprosate,21-30,37-47,"naltrexone,Acamprosate,acamprosate,"
DDI-DrugBank.d0.s2,Co-administration of naltrexone with Acamprosate produced a 25% increase in AUC and a 33% increase in the Cmax of acamprosate.,DDI-DrugBank.d0.s2.p1,0,naltrexone,acamprosate,21-30,114-124,"naltrexone,Acamprosate,acamprosate,"
DDI-DrugBank.d0.s2,Co-administration of naltrexone with Acamprosate produced a 25% increase in AUC and a 33% increase in the Cmax of acamprosate.,DDI-DrugBank.d0.s2.p2,0,Acamprosate,acamprosate,37-47,114-124,"naltrexone,Acamprosate,acamprosate,"
DDI-DrugBank.d0.s4,The pharmacokinetics of naltrexone and its major metabolite 6-beta-naltrexol were unaffected following co-administration with Acamprosate.,DDI-DrugBank.d0.s4.p0,0,naltrexone,6-beta-naltrexol,24-33,60-75,"naltrexone,6-beta-naltrexol,Acamprosate,"
DDI-DrugBank.d0.s4,The pharmacokinetics of naltrexone and its major metabolite 6-beta-naltrexol were unaffected following co-administration with Acamprosate.,DDI-DrugBank.d0.s4.p1,0,naltrexone,Acamprosate,24-33,126-136,"naltrexone,6-beta-naltrexol,Acamprosate,"
DDI-DrugBank.d0.s4,The pharmacokinetics of naltrexone and its major metabolite 6-beta-naltrexol were unaffected following co-administration with Acamprosate.,DDI-DrugBank.d0.s4.p2,0,6-beta-naltrexol,Acamprosate,60-75,126-136,"naltrexone,6-beta-naltrexol,Acamprosate,"
